CustomerID,Lookalike_CustomerID,Similarity_Score
C0001,C0151,0.9999999844461237
C0001,C0010,0.9999998021876729
C0001,C0117,0.9999997927554887
C0002,C0133,0.9999997900466099
C0002,C0105,0.999999644312421
C0002,C0026,0.9999996367742658
C0003,C0051,0.9999996453519857
C0003,C0136,0.9999982965482632
C0003,C0190,0.9999980861555106
C0004,C0112,0.9999997965927551
C0004,C0107,0.9999997811033144
C0004,C0101,0.9999997790390863
C0005,C0158,0.9999999974922243
C0005,C0026,0.9999998224564306
C0005,C0006,0.9999996012442709
C0006,C0167,0.9999961123667352
C0006,C0147,0.9999959513972938
C0006,C0095,0.9999947539892858
C0007,C0192,0.9999996985474134
C0007,C0158,0.9999996610427254
C0007,C0005,0.9999996012442709
C0008,C0193,0.9999939232365963
C0008,C0023,0.9999932577150368
C0008,C0046,0.9999918726763506
C0009,C0120,0.9999995338242462
C0009,C0059,0.9999979674984194
C0009,C0118,0.9999975134789961
C0010,C0198,0.9999999102009222
C0010,C0061,0.9999996239483867
C0010,C0197,0.9999993760617264
C0011,C0106,0.9999999725996145
C0011,C0001,0.9999998021876727
C0011,C0151,0.9999997318005631
C0012,C0012,0.9999913968187361
C0012,C0194,0.9999853662518872
C0012,C0086,0.9999847920262946
C0013,C0086,0.9999989093681229
C0013,C0142,0.9999922237320271
C0013,C0012,0.9999913968187361
C0014,C0096,0.9999696958802025
C0014,C0031,0.9999660803539113
C0014,C0057,0.9999638206171796
C0015,C0122,0.9999965971380137
C0015,C0185,0.9999961126817689
C0015,C0127,0.9999956779151135
C0016,C0182,0.9999999627117194
C0016,C0066,0.9999979081195307
C0016,C0124,0.9999960809881714
C0017,C0074,0.9999983221894612
C0017,C0080,0.9999962936142052
C0017,C0100,0.9999962177181155
C0018,C0186,0.9999409681345585
C0018,C0025,0.9999368240980403
C0018,C0058,0.9999339574287288
C0019,C0010,0.9999991475259328
C0019,C0102,0.9999990410836987
C0019,C0198,0.9999989687818376
C0020,C0079,0.9999808935770889
C0020,C0035,0.9999766654737205
C0020,C0049,0.9999691256373751
